question_textid,PKSmodel_index,total_attempts,proportionCorrect,continuousPKSdifficulty,discretePKSdifficulty,difficultyRatingConfidence
00342ca9273a4ecba512a048778ee22e,1,426,0.671,0.659,34,High
005083c851d94109a56cb0ec5b805cc8,2,376,0.715,0.63,37,High
00ac23c9c6eb4ba598ea933de4011d45,3,656,0.707,0.676,32,High
01a4a1043c754a5c998351f8b461dc8a,4,589,0.56,0.496,50,High
030dc9cbce3a457e9b634b0698d5bd7d,5,494,0.656,0.584,42,High
0344ead05d7740b884300dcb44dae0d9,6,623,0.515,0.442,56,High
0400438331174ee5aa82185738743790,7,483,0.658,0.58,42,High
0496f2d273b94c5b8a199988e1ea1120,8,494,0.642,0.624,38,High
06fffc4bc4c14e54a6dc673a5a3190e4,9,444,0.552,0.465,53,High
0838e4e2c5d94d179425029d3dc5844d,10,516,0.657,0.632,37,High
089b91727d2942e1b1ba5c9ce0333bff,11,593,0.622,0.575,42,High
09d2a4c670c64790a8d4e5544db07afb,12,525,0.575,0.496,50,High
0db843a1f0c94674904f939f7958d0d8,13,1081,0.369,0.351,65,High
0e3ffcd4c126420ab522a283bda01901,14,399,0.84,0.775,22,High
106c0a7b492f4d15b1564886521459f7,15,421,0.758,0.693,31,High
107837ed74524c8897e4cac045c36aef,16,774,0.708,0.679,32,High
117874a05fee4b24afa8837873542791,17,541,0.649,0.565,43,High
132648,18,488,0.744,0.664,34,High
13ddcc7e4dcb458c973658fe2cd2919f,19,425,0.666,0.585,42,High
1469c8cd2e614e5187c980f4da541ffa,20,567,0.725,0.734,27,High
15ae2e0cabc141c9a608f93f2222865a12,21,583,0.388,0.319,68,High
15ae2e0cabc141c9a608f93f2222865a12123212,22,538,0.407,0.337,66,High
15ae2e0cabc141c9a608f93f2222865a1212321212,23,628,0.355,0.292,71,High
1674bd68156b46459babba4b679d8f05,24,464,0.522,0.433,57,High
176433f3a715465cb6c3980621dd8249,25,895,0.427,0.417,58,High
178923,26,597,0.628,0.569,43,High
1835db2a7a7c4d81a395c95a5c0606ef,27,387,0.77,0.678,32,High
191a628fde0f4851892e23792aa1d5d2,28,378,0.796,0.725,27,High
1aee4567e9504f44b7efec33fbe958f6,29,354,0.845,0.774,23,High
1cb3598953734884a9405e4cb60e83c1,30,401,0.838,0.84,16,High
1cbbf1d4b0114372a4c3ab46bea1ab8b,31,452,0.79,0.747,25,High
1d3c0c6f267342979c2baf000a7f30eb,32,573,0.525,0.494,51,High
1de47f405b264cebb9bd25953b139bd8,33,563,0.773,0.744,26,High
1de799ca6dd54227ab098f8eb72243d9,34,396,0.669,0.583,42,High
1f25d14b965447debb0d80c096f92c7a,35,649,0.562,0.541,46,High
203091,36,457,0.724,0.581,42,High
203247,37,472,0.903,0.771,23,High
203302,38,635,0.548,0.462,54,High
203326,39,778,0.871,0.85,15,High
203528,40,568,0.782,0.731,27,High
203761,41,643,0.919,0.906,9,High
203877,42,697,0.776,0.66,34,High
205c4cc985424f1e9bd9836fd05a49fe,43,756,0.556,0.504,50,High
206565,44,447,0.89,0.8,20,High
206628,45,606,0.696,0.618,38,High
207362,46,427,0.731,0.676,32,High
207581,47,775,0.788,0.752,25,High
207591,48,598,0.758,0.693,31,High
207647,49,466,0.933,0.899,10,High
208099,50,290,0.803,0.759,24,High
2082d0db7e644418a58273a60ad3c5a6,51,468,0.667,0.617,38,High
208717,52,663,0.796,0.7,30,High
209664,53,683,0.748,0.721,28,High
209796,54,390,0.779,0.671,33,High
209854,55,622,0.577,0.474,53,High
209861,56,791,0.705,0.755,24,High
210540,57,567,0.739,0.693,31,High
216384,58,533,0.668,0.572,43,High
217885,59,560,0.704,0.62,38,High
217895,60,582,0.601,0.503,50,High
217897,61,468,0.932,0.818,18,High
217910,62,563,0.918,0.879,12,High
217911,63,583,0.887,0.85,15,High
217912,64,531,0.866,0.796,20,High
217916,65,570,0.647,0.536,46,High
217924,66,574,0.854,0.759,24,High
219610,67,258,0.798,0.604,40,High
221220,68,607,0.659,0.62,38,High
221233,69,716,0.83,0.723,28,High
221406,70,411,0.859,0.783,22,High
223543,71,794,0.817,0.769,23,High
228169,72,544,0.794,0.725,27,High
228198,73,522,0.716,0.621,38,High
