KP_index,KP_textid,KP_textid2,KP_textid3,L1_index,L1_textid,L2_index,L2_textid,L3_index,L3_textid
1,57,nabt:m1.1,http://cisco_nabt_mod1#/id/65ad48e3a76247d082f50f49fe53db25,1,nabt,1,Unit 1,1,http://cisco_nabt_mod1
2,1834,nabt:m1.2,http://cisco_nabt_mod1#/id/07cac631c16048758fef65847bf9877c,1,nabt,1,Unit 1,1,http://cisco_nabt_mod1
3,60,nabt:m1.3,http://cisco_nabt_mod1#/id/e88c509bd95c45248af8ba8d899836dd,1,nabt,1,Unit 1,1,http://cisco_nabt_mod1
4,1835,nabt:m1.4,http://cisco_nabt_mod1#/id/68530d46f6de473bb149a516f18858e0,1,nabt,1,Unit 1,1,http://cisco_nabt_mod1
5,1833,nabt:m1.5,http://cisco_nabt_mod1#/id/db4670cce9224903b016fab42d4b16c6,1,nabt,1,Unit 1,1,http://cisco_nabt_mod1
6,2222,nabt:m2.1,http://cisco_nabt_mod2#/id/d1ed9ff64b7244c1be058f0d5452e1ee,1,nabt,1,Unit 1,2,http://cisco_nabt_mod2
7,2223,nabt:m2.2,http://cisco_nabt_mod2#/id/01fcc03b0e2748e88a252180df27fc4f,1,nabt,1,Unit 1,2,http://cisco_nabt_mod2
8,2200,nabt:m3.1,http://cisco_nabt_mod3#/id/15b5ebe3248f40c0988b1a7883487fc9,1,nabt,1,Unit 1,3,http://cisco_nabt_mod3
9,2201,nabt:m3.2,http://cisco_nabt_mod3#/id/28041cd2037e4de6b9450b4d94408f02,1,nabt,1,Unit 1,3,http://cisco_nabt_mod3
10,86,nabt:m4.1,http://cisco_nabt_mod5#/id/1f9b27b4dae841299f032864e6871275,1,nabt,1,Unit 1,4,http://cisco_nabt_mod5
11,1839,nabt:m4.3,http://cisco_nabt_mod5#/id/a89fb906900a41e09a693f800caa3263,1,nabt,1,Unit 1,4,http://cisco_nabt_mod5
12,1840,nabt:m4.4,http://cisco_nabt_mod5#/id/21a44b93fae04cb889e0746f1e24ce4f,1,nabt,1,Unit 1,4,http://cisco_nabt_mod5
13,1841,nabt:m4.5,http://cisco_nabt_mod5#/id/b8a9dc01940a46208f4a599e307d02a9,1,nabt,1,Unit 1,4,http://cisco_nabt_mod5
14,89,nabt:m5.1,http://cisco_nabt_mod6#/id/1a58f96ba740434aab788a14f6c91cd4,1,nabt,1,Unit 1,5,http://cisco_nabt_mod6
15,1416,nabt:m6.1,http://cisco_nabt_mod7#/id/d9774d48740c4b25a26b424f27d47be2,1,nabt,1,Unit 1,6,http://cisco_nabt_mod7
16,1022,nabt:m6.2,http://cisco_nabt_mod7#/id/c80f46a5342549b98d2a5a8011836476,1,nabt,1,Unit 1,6,http://cisco_nabt_mod7
17,1417,nabt:m6.3,http://cisco_nabt_mod7#/id/1a12d768a26547ac89e105484ecacc54,1,nabt,1,Unit 1,6,http://cisco_nabt_mod7
18,1419,nabt:m6.4,http://cisco_nabt_mod7#/id/163ac22561c64f38a8c78420cea7faae,1,nabt,1,Unit 1,6,http://cisco_nabt_mod7
19,102,nabt:m6.5,http://cisco_nabt_mod7#/id/52e00d289d3d433fb39fd4d0f88966ea,1,nabt,1,Unit 1,6,http://cisco_nabt_mod7
20,1430,nabt:m7.1,http://cisco_nabt_mod8#/id/5e68ff90d5ef4f4b8c7143864d0ef440,1,nabt,1,Unit 1,7,http://cisco_nabt_mod8
21,1432,nabt:m7.2,http://cisco_nabt_mod8#/id/7d9aaf2f38034b56b743c606f1ea0b2f,1,nabt,1,Unit 1,7,http://cisco_nabt_mod8
22,1437,nabt:m7.3,http://cisco_nabt_mod8#/id/cfb15950a9284250958036812e760e96,1,nabt,1,Unit 1,7,http://cisco_nabt_mod8
23,1438,nabt:m7.4,http://cisco_nabt_mod8#/id/e0e1d822dab2499fa5a379156d2a20d7,1,nabt,1,Unit 1,7,http://cisco_nabt_mod8
24,1439,nabt:m7.5,http://cisco_nabt_mod8#/id/b698f99098dc44ec972d7a409086013b,1,nabt,1,Unit 1,7,http://cisco_nabt_mod8
