question_textid,PKSmodel_index,total_attempts,proportionCorrect,continuousPKSdifficulty,discretePKSdifficulty,difficultyRatingConfidence
0353c0c5615a4eeb89239c8182181640,1,1045,0.476,0.533,47,High
08a3e9ca82e54a3b894d77edc65ea789,2,1068,0.729,0.768,23,High
0b0d860907f04db3830aa4336a178b60,3,336,0.768,0.78,22,High
0ca8d107ecd042018a2221ef2f00a6f6,4,363,0.766,0.813,19,High
149410,5,435,0.91,0.945,5,High
14da18130ff342579a0462ff8505e331,6,304,0.75,0.754,25,High
17e6fdc31c3f4da89899870ebf02e7d1,7,286,0.913,0.891,11,High
181932850775433d9ed7003fb4ba8e54,8,335,0.734,0.776,22,High
19e7474e5e574b098c72f1f1f24c68a4,9,713,0.928,0.904,10,High
1b0ceaf24c4c4100bdfd5a7a7a486bed,10,457,0.807,0.821,18,High
1e13e30ee1444d5ba11d9013110c0e27,11,682,0.696,0.723,28,High
202029,12,379,0.351,0.452,55,High
202709,13,399,0.774,0.805,19,High
203729,14,630,0.763,0.821,18,High
203860,15,289,0.81,0.858,14,High
205909,16,435,0.768,0.803,20,High
206397,17,208,0.764,0.797,20,High
206625,18,796,0.582,0.635,36,High
206627,19,601,0.852,0.885,11,High
206912,20,824,0.602,0.677,32,High
206936,21,350,0.526,0.555,44,High
206941,22,796,0.825,0.842,16,High
206944,23,796,0.71,0.751,25,High
206945,24,569,0.378,0.538,46,High
206948,25,343,0.539,0.557,44,High
206952,26,347,0.651,0.69,31,High
206953,27,796,0.634,0.679,32,High
206954,28,824,0.762,0.813,19,High
206973,29,796,0.476,0.549,45,High
206975,30,824,0.595,0.659,34,High
206977,31,824,0.55,0.611,39,High
206980,32,824,0.913,0.932,7,High
206981,33,693,0.674,0.763,24,High
207289,34,362,0.591,0.638,36,High
207290,35,797,0.753,0.823,18,High
207349,36,361,0.878,0.895,10,High
207482,37,796,0.685,0.746,25,High
207561,38,380,0.666,0.685,31,High
207567,39,322,0.795,0.815,18,High
207569,40,396,0.74,0.804,20,High
207577,41,795,0.742,0.768,23,High
207583,42,322,0.689,0.736,26,High
207586,43,222,0.55,0.559,44,High
208171,44,601,0.714,0.766,23,High
208776,45,325,0.831,0.825,17,High
208821,46,797,0.512,0.615,38,High
208822,47,601,0.81,0.836,16,High
208826,48,797,0.715,0.796,20,High
208827,49,601,0.661,0.747,25,High
208837,50,797,0.673,0.77,23,High
208916,51,442,0.781,0.796,20,High
208954,52,322,0.599,0.653,35,High
209401,53,601,0.453,0.527,47,High
209631,54,245,0.755,0.766,23,High
209817,55,796,0.553,0.617,38,High
209877,56,619,0.703,0.801,20,High
210890,57,322,0.767,0.738,26,High
210930,58,445,0.807,0.805,19,High
211164,59,322,0.826,0.837,16,High
211236,60,352,0.759,0.781,22,High
212352,61,322,0.72,0.751,25,High
