KP_index,KP_textid,KP_textid2,KP_textid3,L1_index,L1_textid,L2_index,L2_textid,L3_index,L3_textid
1,12,ndic:m1.1,http://cisco_ndic_mod1#/id/cbc050ad8d6f48eebf9042e11769ee41,1,ndic,1,Unit 1,1,http://cisco_ndic_mod1
2,1369,ndic:m1.2,http://cisco_ndic_mod1#/id/6b499719d1ba4781acbb1902b302a3ad,1,ndic,1,Unit 1,1,http://cisco_ndic_mod1
3,2087,ndic:m2.1,http://cisco_ndic_mod2#/id/6fa5568bb6414a1cb3f2c68c283d377b,1,ndic,1,Unit 1,2,http://cisco_ndic_mod2
4,2221,ndic:m2.2,http://cisco_ndic_mod2#/id/a048c6b35cfa482994ed8b0498b22b7b,1,ndic,1,Unit 1,2,http://cisco_ndic_mod2
5,822,ndic:m3.1,http://cisco_ndic_mod3#/id/1cbf71a5e3664d1fbe321ee622062a42,1,ndic,1,Unit 1,3,http://cisco_ndic_mod3
6,1836,ndic:m3.2,http://cisco_ndic_mod3#/id/c06e4991b7924c029e8b976a6af868f0,1,ndic,1,Unit 1,3,http://cisco_ndic_mod3
7,1365,ndic:m4.1,http://cisco_ndic_mod4#/id/ec428a9c45ee4e1f8f50e2d801d86cc4,1,ndic,1,Unit 1,4,http://cisco_ndic_mod4
8,831,ndic:m4.2,http://cisco_ndic_mod4#/id/49bf514421f74858a69d6da2368ace06,1,ndic,1,Unit 1,4,http://cisco_ndic_mod4
9,22,ndic:m4.3,http://cisco_ndic_mod4#/id/4cc563c51e2245ee80eb4bec5540a84b,1,ndic,1,Unit 1,4,http://cisco_ndic_mod4
10,809,ndic:m4.4,http://cisco_ndic_mod4#/id/d2a15f0aff1948c882189264c41b9279,1,ndic,1,Unit 1,4,http://cisco_ndic_mod4
11,42,ndic:m5.1,http://cisco_ndic_mod5#/id/1a01a9c5954b4edfbc9df2e42da6ad3e,1,ndic,1,Unit 1,5,http://cisco_ndic_mod5
12,2200,ndic:m5.2,http://cisco_ndic_mod5#/id/9a6e9887bfc246c09c29c4f96fd03f51,1,ndic,1,Unit 1,5,http://cisco_ndic_mod5
13,2201,ndic:m5.3,http://cisco_ndic_mod5#/id/b79d4ac249db45c097dc0ebd25f4d7d9,1,ndic,1,Unit 1,5,http://cisco_ndic_mod5
14,812,ndic:m6.1,http://cisco_ndic_mod6#/id/1db5579abffc4b60b4121c6637f7d4e9,1,ndic,1,Unit 1,6,http://cisco_ndic_mod6
15,53,ndic:m7.1,http://cisco_ndic_mod7#/id/86d2b9891c3b4083a9bcffcfb58ef06b,1,ndic,1,Unit 1,7,http://cisco_ndic_mod7
16,1849,ndic:m8.1,http://cisco_ndic_mod8#/id/f31c50387fc04be7a3bdc344f27f7781,1,ndic,1,Unit 1,8,http://cisco_ndic_mod8
17,35,ndic:m9.1,http://cisco_ndic_mod9#/id/23ef6c185edb47cb96ce6b11949f54f5,1,ndic,1,Unit 1,9,http://cisco_ndic_mod9
18,1845,ndic:m9.2,http://cisco_ndic_mod9#/id/ec2f71543e2544a2ba4fd1b0bdf4cf5c,1,ndic,1,Unit 1,9,http://cisco_ndic_mod9
19,1846,ndic:m9.3,http://cisco_ndic_mod9#/id/ada204e64517452eb6a20a23675daace,1,ndic,1,Unit 1,9,http://cisco_ndic_mod9
20,1847,ndic:m9.4,http://cisco_ndic_mod9#/id/d8a186cc2fc94ddb928495f7fd4b360c,1,ndic,1,Unit 1,9,http://cisco_ndic_mod9
21,37,ndic:m9.5,http://cisco_ndic_mod9#/id/6218dd67b38448adb91c77af12fe9e64,1,ndic,1,Unit 1,9,http://cisco_ndic_mod9
22,38,ndic:m9.6,http://cisco_ndic_mod9#/id/31abb697cd08479ea1ea169d02268f6e,1,ndic,1,Unit 1,9,http://cisco_ndic_mod9
23,39,ndic:m9.7,http://cisco_ndic_mod9#/id/11e52730dde140c4a3429ab9504bbf18,1,ndic,1,Unit 1,9,http://cisco_ndic_mod9
24,1422,ndic:m10.1,http://cisco_ndic_mod10#/id/afc99cc188f74450b5f057ad997197b8,1,ndic,1,Unit 1,10,http://cisco_ndic_mod10
25,130,ndic:m10.2,http://cisco_ndic_mod10#/id/b1891665833540848baa572278881661,1,ndic,1,Unit 1,10,http://cisco_ndic_mod10
26,1425,ndic:m10.3,http://cisco_ndic_mod10#/id/e142a5bec70149c8a8a7758affb4527e,1,ndic,1,Unit 1,10,http://cisco_ndic_mod10
27,222,ndic:m11.1,http://cisco_ndic_mod11#/id/37fa1b330a294d669316f294a6bfb8aa,1,ndic,1,Unit 1,11,http://cisco_ndic_mod11
28,106,ndic:m11.2,http://cisco_ndic_mod11#/id/a45b798339c14625985228366c401719,1,ndic,1,Unit 1,11,http://cisco_ndic_mod11
29,1427,ndic:m11.3,http://cisco_ndic_mod11#/id/15b7f6bf382f431e83719ed5364e7b0b,1,ndic,1,Unit 1,11,http://cisco_ndic_mod11
30,811,ndic:m11.4,http://cisco_ndic_mod11#/id/3edff2506e024138bae65e1dae5fd35c,1,ndic,1,Unit 1,11,http://cisco_ndic_mod11
31,823,ndic:m12.1,http://cisco_ndic_mod12#/id/d11da365936344f0a8f824ee20b07bc4,1,ndic,1,Unit 1,12,http://cisco_ndic_mod12
32,70,ndic:m12.2,http://cisco_ndic_mod12#/id/5b829897a67a4f059536376da4294ada,1,ndic,1,Unit 1,12,http://cisco_ndic_mod12
