question_textid,Course,question_textid2
274265,inet,fa1502c283d442d687a3592f405126a8
282775,inet,0e332a8799aa4fa9b7c45c7129546c71
410526,inet,15c57187b3f14bdb81a1c3a2a294349e
410536,inet,7a0805f0c32e4e458a6e2865977df6a5
286147,inet,444a16ec3b6941d1b1395ab52c5ff807
286148,inet,a54c896b00d14a93ac755e32d10544e6
386401,inet,cb46b06e715145148faec66569fd93b9
286118,inet,bbaf0afa9df542e085b0ea5f3c76d665
286119,inet,476dffb4c23f4557a7ade111a0fa59ea
275360,inet,601e191b6c4341bd99875ae7dfec2431
235857,inet,374969af983844669248b4ec14906039
349800,inet,a6772df08c7349539e6d350072aa7ee2
304858,inet,50c58bc2d5734316bc198b8aec5219e9
208699,inet,6ee75214ba4241c5a27efe9e3a854dfe
208918,inet,1dd33f507a5f43eb8867e2e807467832
242555,inet,cbd4d742999648a88347cb69b9689d3d
285079,inet,275169e532cb4b859149316b83ae909a
208086,inet,d5e759c75708456dbff6f7ce7ffb85db
354713,inet,b3bd226918164b1188c0c222b3cb6dda
274593,inet,3bdb1b814c06402f9539c89361634174
220698,inet,929faf35171c473aa8263812c7296f11
370704,inet,2d22c1181b16407085398dd808172121
209458,inet,298b4c7409a54c6492fb4a351c8b2975
223558,inet,20bb92a2f0df4e20a81724670a946bc8
208790,inet,9ea2554f307648ffae0cf89816f24727
208845,inet,64c3f7811aa04fe192cca43874a7db8f
301883,inet,4db2a3718f32492388bb5d8bdf549de5
410522,inet,8dca861bb55a4030a56c4a88e83f0ced
207787,inet,5a996910adab4cf1a3ef70b4e91aea1b
209406,inet,3d897b6f6a364d1baa8b8e5fedb73a2e
207271,inet,82d4a660d84b4e969d435c2235671ff3
207684,inet,bbeaa27b2aa54159ae24f0b05f53ea6d
210839,inet,4613c34e5b7143ad978c5d0cde231bd5
360188,inet,3e99416b405d4b419568c56f1527b311
286191,inet,26287b391a3748c0a939a8f05a2ea9c7
206306,inet,8ae500deae2444bc8b8b990c461c37d8
228162,inet,727c178f9c2d4b7fac3254eef00cb95c
208932,inet,f85dd3033adc484fa4f275368daa8066
208962,inet,cd59b15fd8cf4848972d59d1c27527ea
