question_textid,PKSmodel_index,total_attempts,proportionCorrect,continuousPKSdifficulty,discretePKSdifficulty,difficultyRatingConfidence
042daa06182e444d87d7f3f3398531b6,1,382,0.796,0.746,25,High
0b80b513c561419b916ef74f4518a02f,2,448,0.692,0.689,31,High
110535ba28f8477fa840dce31a7892a0,3,460,0.67,0.626,37,High
1864b0a63c6c4c0e92638196212e5d24,4,316,0.766,0.758,24,High
19a0b78c477545dbb776b24eb476381b,5,410,0.576,0.529,47,High
1a6305304b4f4fb7b7ddca4bca0cc49e,6,713,0.585,0.593,41,High
1a70c6e17f5d4143b068e08965d3fe74,7,985,0.903,0.909,9,High
1a70f84a37244c45b6c340c2252e1f27,8,732,0.641,0.595,40,High
1b8bbdb7fa464e7a8277327ce40f7fab,9,492,0.76,0.718,28,High
1be34c70ba2f4f89896ff20673485a1e,10,673,0.722,0.731,27,High
202711,11,415,0.853,0.828,17,High
202714,12,308,0.945,0.91,9,High
203877,13,607,0.769,0.756,24,High
204743,14,373,0.592,0.559,44,High
204744,15,308,0.89,0.852,15,High
204746,16,381,0.971,0.961,4,High
204749,17,308,0.714,0.685,31,High
204884,18,479,0.841,0.819,18,High
205166,19,387,0.796,0.767,23,High
205985,20,399,0.972,0.951,5,High
206090,21,415,0.417,0.381,62,High
206115,22,415,0.728,0.685,31,High
206120,23,415,0.687,0.643,36,High
206128,24,452,0.692,0.656,34,High
206133,25,415,0.713,0.697,30,High
206287,26,607,0.837,0.827,17,High
206306,27,451,0.743,0.757,24,High
206331,28,381,0.806,0.755,24,High
206332,29,381,0.404,0.369,63,High
206368,30,498,0.851,0.827,17,High
206384,31,498,0.892,0.862,14,High
206385,32,583,0.527,0.494,51,High
206404,33,498,0.878,0.846,15,High
206893,34,414,0.758,0.717,28,High
206911,35,532,0.508,0.469,53,High
207256,36,532,0.536,0.503,50,High
207258,37,399,0.757,0.71,29,High
207264,38,532,0.897,0.853,15,High
207266,39,486,0.385,0.36,64,High
207269,40,532,0.558,0.518,48,High
207271,41,551,0.704,0.682,32,High
207352,42,516,0.828,0.784,22,High
207485,43,582,0.852,0.853,15,High
207539,44,516,0.857,0.82,18,High
207540,45,516,0.864,0.832,17,High
207541,46,516,0.837,0.79,21,High
207564,47,498,0.914,0.889,11,High
207581,48,657,0.807,0.783,22,High
207585,49,582,0.863,0.866,13,High
207593,50,392,0.566,0.528,47,High
