question_index,question_textid,KP_index,deltaMeanZShiftCorrect,deltaMeanZShiftIncorrect,centerValue,iqta,weights_1,weights_2,weights_3,weights_4,inTestBank
1,042daa06182e444d87d7f3f3398531b6,16,0.101513299480703,-0.295488256927345,0.705825035520302,0,0.524188951470556,0.287762133589505,0.117216314590297,-0.181198267831737,0
2,0b80b513c561419b916ef74f4518a02f,24,0.0876577161270694,-0.198219029824403,0.519860172542997,0,0.312221720760259,0.166486294066989,-0.0436384721000448,0.0497701461272748,0
3,110535ba28f8477fa840dce31a7892a0,24,0.107739245234071,-0.189033486283883,0.35474415925619,0,0.226073560287673,0.101155563240229,0.0342015499055444,0.130156066349793,0
4,1864b0a63c6c4c0e92638196212e5d24,22,0.020348457729947,-0.0502143331958355,0.732783116047439,0,0.492894825479945,-0.122502670907226,0.0445353716225573,-0.216187181053272,0
5,19a0b78c477545dbb776b24eb476381b,23,0.0456624615776671,-0.0535895799763026,0.10081584553721,0,0.156866377821083,-0.147069601122523,0.109351694644698,0.0448790162633421,0
6,1a6305304b4f4fb7b7ddca4bca0cc49e,9,0.0684957948842032,-0.101268242653211,0.24860922975885,0,0.223586306858525,0.0534078551233857,0.139822521638059,-0.130040564609106,0
7,1a70c6e17f5d4143b068e08965d3fe74,1,0.0448188382065643,-0.44947255582972,1.42484307219581,0,0.586567312243042,0.190078977268957,0.0306437908577123,0.012159377698559,0
8,1a70f84a37244c45b6c340c2252e1f27,8,0.101242499688171,-0.150097475755589,0.252624771112982,0,0.287174527024618,0.102376947343422,0.179036528466555,-0.134453454167149,0
9,1b8bbdb7fa464e7a8277327ce40f7fab,14,0.12982981280366,-0.320929244937567,0.606776167868122,0,0.580350467354215,0.310827172561821,0.0270860318098802,-0.0336595907903794,0
10,1be34c70ba2f4f89896ff20673485a1e,6,0.00965550771891436,-0.0180410881395573,0.577160200276403,0,0.409778687886208,-0.0893783653946442,-0.252337945805693,0.0208949275649404,0
11,202711,19,0.0940113317476781,-0.530516699085685,1.15835010154537,0,0.622438494634293,0.64468542125787,0.251669571704281,-0.246045059691959,1
12,202714,30,0.040636888386121,-0.526034995512173,1.52280303738364,0,0.487806504420027,0.21199343134833,0.125121836119132,0.0099246824726067,1
13,203877,16,0.00252495199752991,0.000881693504667826,0.702846927285753,0,0.396948020632074,-0.172598438519769,-0.180514767629634,0.00551355440680396,1
14,204743,24,0.0735551859937464,-0.0956899035585581,0.167446326821809,0,0.223923664261395,0.0273295601768512,-0.0332831149671982,0.0688338686638537,1
15,204744,29,0.0549616268494521,-0.343420019036141,1.17231647249823,0.00472614189165091,0.565787764316905,0.198028815545167,-0.0724399399339895,0.0221085880415997,1
16,204746,16,0.00495299799293535,-0.110215489020897,1.93288722716405,0,0.460111741636711,-0.0693074809139818,-0.177730705044374,0.00880733485963057,1
17,204749,27,0.0315519079610952,-0.0688837277945546,0.502393295848535,0,0.253312968812395,-0.101228020672976,-0.0588004952041913,0.0808762558965907,1
18,204884,25,0.00775065251223146,-0.018171851297721,0.978131184130223,0,0.539341270851006,-0.197590311709977,-0.360104301767562,0.138131295090568,1
19,205166,29,0.0890561992267419,-0.292501937518362,0.800943140503137,0,0.638064498110353,-0.0524379413206074,0.114121976142828,0.0732381401197329,1
20,205985,15,0.00959262255619164,-0.218608808148608,1.85909824416836,0.0115583721881182,0.426493417752508,0.429983581631063,-0.363699105762347,-0.124119853397343,1
21,206090,18,0.196326036243508,-0.129653329255685,-0.263026453282479,0,0.167869597812779,0.0643711207472374,0.240448694584902,0.0740286333998772,1
22,206115,21,0.171320682765776,-0.373885885867249,0.5135990571736,0,0.493640384856867,0.0142222763902058,0.369716000490782,0.133233793095382,1
23,206120,19,0.176382956528521,-0.336314362868917,0.409708743632319,0,0.247842468589331,0.172354798949698,0.19943561718097,0.24172637628112,1
24,206128,22,0.00909717102436903,-0.0207003818980554,0.417946333119474,0,0.425360117711371,-0.526760822978468,0.236955914583364,-0.127412491423742,1
25,206133,20,0.116948965845452,-0.245434518019643,0.526583422645037,0,0.798049937673195,0.321335158120369,-0.389796366666427,0.140550852028546,1
26,206287,16,0.00897931640825474,-0.030598269726433,0.989128627926739,0,0.409159069706081,-0.209854809725426,0.0400662933359551,-0.128289768613923,1
27,206306,16,0.135039316502204,-0.431611137815847,0.756828520908357,0.002,0.586736698612831,0.0474027085345444,0.148720464350249,0.258446113266593,1
28,206331,16,0.0856110687917818,-0.267299036762958,0.728067650971848,0,0.403570962502722,0.172425483584102,0.144983268211421,-0.114467496125506,1
29,206332,16,0.215401184435388,-0.130016251565843,-0.326362877340173,0,0.21799625871761,0.147468360683275,0.349686566098179,-0.106984815974645,1
30,206368,12,0.0160025492915641,-0.0593682079324488,1.0016773796683,0,0.47863528218118,0.0237523057532038,-0.0855982811430953,-0.220565289067467,1
31,206384,12,0.0225568714567099,-0.15958502385414,1.17445744535948,0.002,0.438917330088541,0.0215021054579188,-0.446667136883412,0.251020400156511,1
32,206385,13,0.152545406339519,-0.15334743809996,0.00333984491217409,0,0.190395021041239,0.0795979983473707,0.232852361740356,0.0165767893378432,1
33,206404,13,0.074051510870893,-0.467335365188654,1.20273968962252,0.00408212053325634,0.671179207463593,-0.0452085308057854,0.39717943543168,0.0143940729245112,1
34,206893,29,-0.00645067327385868,0.029745196101328,0.592417339106448,0,0.638064498110353,-0.436819201291395,0.0270860318098802,-0.171550260157421,1
35,206911,8,0.118663538333468,-0.108025998562269,-0.0604849611419565,0,0.218956457858409,-0.0842360621606511,0.250335412061344,0.00996463784493964,1
36,207256,8,0.0349961351168123,-0.036796172117814,0.0318107825685411,0,0.157150957354588,-0.0824474349488274,0.0359804294294604,0.00996463784493964,1
37,207258,15,0.0635696391412152,-0.13290562229248,0.55660719062851,0,0.653587018119685,-0.116585935477624,0.0921050221305041,-0.120298937427127,1
38,207264,7,0.0515804991345103,-0.317586119770679,1.22628776828602,0,0.536650700716056,0.556861030427308,-0.289610113432298,-0.0395584246804623,1
39,207266,15,0.0616536163694563,-0.035637955228033,-0.344004970642181,0,0.157150957354588,0.0350150677276561,0.099640426524436,-0.132748327015783,1
40,207269,8,0.106736155498005,-0.118496448534267,0.0673164361555987,0,0.218956457858409,-0.0878133165842984,0.250335412061344,0.0110420300855828,1
41,207271,15,0.0738713642586615,-0.163110956326684,0.50624924810302,0,0.217177428713531,0.282234496622576,0.0317496453304499,-0.12653931294231,1
42,207352,14,0.0933990739881318,-0.346827564650753,0.843945833083664,0,0.485322901218534,0.238834727975002,-0.0868951400728677,0.136690464404114,1
43,207485,5,0.044183115083693,-0.235992439029209,1.07354091106261,0,0.470628248943033,0.0350150677276561,-0.0903200167685787,0.0776638815092843,1
44,207539,14,0.0559469422254154,-0.254736414743376,1.00037635902002,0,0.553893633359755,-0.0403029062702318,0.135290380166407,-0.0546532440036634,1
45,207540,14,0.0344307138150729,-0.171449917880753,1.00258761099135,0,0.329994217658492,-0.0385142790584081,0.025308547647966,0.0164841582004181,1
46,207541,14,0.098909147936961,-0.384859072322149,0.892218874369462,0,0.525480954026008,0.403276642262042,0.0270860318098802,-0.0546532440036634,1
47,207564,13,0.0544520180415487,-0.544395199908855,1.48852214164325,0.030311435647638,0.668268734961844,0.624863798601839,-0.0453592860597867,-0.0492001303455241,1
48,207581,13,0.0374006902398841,-0.140890103704013,0.845928770412721,0,0.488220438286942,-0.429573208703652,0.232852361740356,0.0166287681504635,1
49,207585,6,-0.00908718515823454,0.0546077707778202,1.11721554486731,0.0166774374517319,0.432651682758677,-0.0863984978723492,-0.467805632683785,0.0142855267553006,1
50,207593,32,0.0795428869014725,-0.0841905966747285,0.0362596874536835,0,0.438884695523951,-0.427876065232276,0.202532895220445,0.0671553054404388,1
51,207635,14,0.0327177759193706,-0.110918269976019,0.934709374156951,0,0.627509184504008,-0.0349370246347608,0.0324226703816283,-0.236101295059574,1
52,207681,10,0.0445137554910787,-0.134631395950961,0.801013010857121,0,0.575974418073028,-0.0495639428689517,0.0176913243241986,-0.122299872659688,1
53,207684,15,0.0274598426254163,-0.338383976896281,1.58856652973701,0,0.654414885853516,0.0385923221513035,0.0324226703816283,-0.0463816340874322,1
54,207762,14,0.14433316483242,-0.242031034884956,0.329591585680929,0,0.258280175215381,0.24777786403412,0.140711961400017,0.0099246824726067,1
55,207787,14,0.233448363620054,-0.203801972749453,-0.0870310876109348,0,0.233987666496066,0.298170358437136,0.118523361349292,0.103218979152024,1
56,207877,16,-0.0748322788606015,0.0758005798588742,0.00764469847434901,0,0.534787998314936,-0.308733231132185,-0.357645306473946,-0.0630494354177073,1
57,208059,26,0.0158718807552796,-0.0350018301443521,0.636823009063365,0,0.405226697970384,-0.142096987421392,-0.0806284742003973,-0.0461042242848322,1
